,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
121,Gamba,23.4,33.0,CN,11/09/2019,62.0,88.52,28.28,23.4,1.05
122,Krasnokholm,30.0,98.0,RU,11/09/2019,77.0,54.16,51.6,30.0,6.96
123,Vladicin Han,55.0,56.0,RS,11/09/2019,82.0,22.07,42.71,55.0,3.0
124,Deniliquin,61.0,2.0,AU,11/09/2019,58.0,144.96,-35.53,61.0,8.01
125,Lac du Bonnet,23.0,100.0,CA,11/09/2019,82.0,-96.06,50.25,23.0,10.0
126,Gimli,22.48,100.0,CA,11/09/2019,82.0,-96.99,50.63,23.0,10.0
127,Trincomalee,72.39,95.0,LK,11/09/2019,98.0,81.23,8.58,72.39,2.33
128,Huarmey,63.61,83.0,PE,11/09/2019,79.0,-78.15,-10.07,63.61,2.37
129,Mahibadhoo,82.22,61.0,MV,11/09/2019,75.0,72.97,3.78,82.22,8.5
130,The Valley,80.56,40.0,AI,11/09/2019,83.0,-63.06,18.22,82.4,6.93
131,Kruisfontein,60.71,94.0,ZA,11/09/2019,82.0,24.73,-34.0,60.71,13.35
132,Mangit,37.4,0.0,UZ,11/09/2019,74.0,70.96,40.6,37.4,6.93
133,Maraba,82.4,20.0,BR,11/09/2019,78.0,-49.1,-5.35,82.4,2.24
134,Bonfim,87.19,63.0,GY,11/09/2019,51.0,-59.84,3.36,87.19,7.25
135,Chapais,17.6,90.0,CA,11/09/2019,92.0,-74.86,49.78,17.6,6.93
136,Kimbe,73.96,100.0,PG,11/09/2019,97.0,150.15,-5.56,73.96,5.48
137,Pisco,67.78,26.0,PE,11/09/2019,30.0,-76.2,-13.71,71.6,16.11
138,Kaitangata,51.01,100.0,NZ,11/09/2019,92.0,169.85,-46.28,51.01,8.01
139,Shelburne,34.21,90.0,CA,11/09/2019,69.0,-80.2,44.08,37.4,11.41
140,Puerto Guzman,91.49,75.0,BO,11/09/2019,74.0,-67.54,-14.32,95.0,1.97
